1/1/07,0:10:00,1/1/07,0:19:00,0.0
1/1/07,0:10:00,1/1/07,0:20:00,0.0
1/1/07,0:10:00,1/1/07,0:26:00,0.0
1/1/07,0:10:00,1/1/07,0:31:00,0.0
1/1/07,0:10:00,1/1/07,0:37:00,0.0
1/1/07,0:10:00,1/1/07,0:39:00,0.0
1/1/07,0:10:00,1/1/07,0:44:00,0.0
1/1/07,0:10:00,1/1/07,0:45:00,0.0
1/1/07,0:10:00,1/1/07,0:46:00,0.0
1/1/07,0:10:00,1/1/07,0:49:00,0.0
1/1/07,0:10:00,1/1/07,0:57:00,0.0
1/1/07,0:10:00,1/1/07,1:01:00,0.0
1/1/07,0:10:00,1/1/07,1:02:00,0.0
1/1/07,0:10:00,1/1/07,1:05:00,0.0
1/1/07,0:10:00,1/1/07,1:12:00,0.0
1/1/07,0:10:00,1/1/07,1:22:00,0.0
1/1/07,0:10:00,1/1/07,1:23:00,0.0
1/1/07,0:10:00,1/1/07,1:27:00,0.0
1/1/07,0:10:00,1/1/07,1:31:00,0.0
1/1/07,0:10:00,1/1/07,1:32:00,0.0
1/1/07,0:10:00,1/1/07,1:35:00,0.0
1/1/07,0:10:00,1/1/07,1:36:00,0.0
1/1/07,0:10:00,1/1/07,1:40:00,0.0
1/1/07,0:10:00,1/1/07,1:45:00,0.0
1/1/07,0:10:00,1/1/07,1:46:00,0.0
1/1/07,0:10:00,1/1/07,1:49:00,0.0
